Objective;Wavelength;Zoom;ETL-Left-Offset;ETL-Left-Amp;ETL-Right-Offset;ETL-Right-Amp
1x;488 nm;1x;1.56;0.63;1.07;0.63
1x;488 nm;0.63x;2.204000000000013;1.0;2.5040000000000053;1.0
1x;488 nm;0.8x;2.334000000000004;0.942;2.5919999999999996;0.936
1x;488 nm;1x;1.56;0.63;1.07;0.63
1x;488 nm;1.25x;2.3960000000000017;0.692;2.5759999999999974;0.6260000000000001
1x;488 nm;1.6x;2.3880000000000026;0.524;2.547999999999999;0.449
1x;488 nm;2x;1.575;0.335;1.07;0.251
1x;488 nm;2.5x;2.386999999999998;0.3990000000000001;2.5870000000000006;0.26999999999999996
1x;488 nm;3.2x;1.535;0.20500000000000002;1.08;0.19999999999999998
1x;488 nm;4x;0.15000000000000002;0.19;0.165;0.191
1x;488 nm;5x;1.54;0.15000000000000002;1.06;0.08299999999999999
1x;488 nm;6.3x;1.53;0.07;1.104;0.06000000000000001
1x;561 nm;0.63x;2.361;1.086;2.579000000000002;1.107999999999997
1x;561 nm;0.8x;2.3620000000000014;0.87;2.547;0.75
1x;561 nm;1x;2.399999999999999;0.744;2.7329999999999974;0.594
1x;561 nm;1.25x;2.3959999999999995;0.688;2.5409999999999955;0.586
1x;561 nm;1.6x;2.3800000000000017;0.584;2.628999999999992;0.472
1x;561 nm;2x;2.3800000000000012;0.504;2.5990000000000024;0.296
1x;561 nm;2.5x;2.39;0.37600000000000017;2.593;0.324
1x;561 nm;3.2x;2.4259999999999997;0.243;2.626;0.184
1x;561 nm;4x;2.410999999999999;0.216;2.611999999999997;0.158
1x;561 nm;5x;2.387;0.13599999999999995;2.598;0.18600000000000003
1x;561 nm;6.3x;2.391;0.10400000000000001;2.5939999999999994;0.12800000000000003
1x;647 nm;0.63x;2.379000000000006;1.344;2.5710000000000024;1.224
1x;647 nm;0.8x;2.423000000000008;0.9560000000000002;2.6049999999999938;1.018
1x;647 nm;1x;2.495;0.87;2.602999999999993;0.7479999999999999
1x;647 nm;1.25x;2.423000000000008;0.6479999999999999;2.6029999999999927;0.582
1x;647 nm;1.6x;2.4210000000000083;0.5359999999999999;2.6129999999999955;0.4299999999999998
1x;647 nm;2x;2.3930000000000025;0.432;2.6189999999999993;0.366
1x;647 nm;2.5x;2.417000000000007;0.3799999999999999;2.606999999999996;0.27999999999999997
1x;647 nm;3.2x;2.415000000000008;0.23199999999999998;2.608999999999992;0.24199999999999977
1x;647 nm;4x;2.4190000000000085;0.2;2.6129999999999924;0.20800000000000002
1x;647 nm;5x;2.415000000000002;0.14500000000000002;2.6099999999999923;0.12499999999999994
1x;647 nm;6.3x;2.481;0.07400000000000001;2.7779999999999996;0.092
